Group.Num,Block,Treatment,Day,Time,Location,Members,Notes
1,0,Low,1,1000,1,R E,
2,0,Low,1,1000,2,D B I,
3,0,Low,1,1000,7,F H,
4,0,Low,1,1000,10,S T,
5,0,Low,1,1115,1,R E,
6,0,Low,1,1115,2,B A I L,
7,0,Low,1,1115,4,M N,
8,0,Low,1,1115,7,F H K,
9,0,Low,1,1115,8,J W,
10,0,Low,1,1115,12,S V,
11,0,Low,1,1230,1,R E,
12,0,Low,1,1230,2,A B D I,
13,0,Low,1,1230,4,M N X,
14,0,Low,1,1230,7,H C F K L,
15,0,Low,1,1300,1,R E,
16,0,Low,1,1300,2,A B I D,
17,0,Low,1,1300,4,M O,
18,0,Low,1,1300,6,W Q,
19,0,Low,1,1300,7,W X F H,
20,0,Low,1,1430,1,R E Q X ,
21,0,Low,1,1430,2,A B I,
22,0,Low,1,1430,4,M N W,
23,0,Low,1,1430,7,L F C,
24,0,Low,1,1530,1,R E ,
25,0,Low,1,1530,2,A W ,
26,0,Low,1,1530,7,C H B X,
27,0,Low,1,1530,8,K L,
28,0,Low,1,1630,2,D I ,
29,0,Low,1,1630,7,B H X,
30,0,Low,1,1630,11,C N,
31,0,Low,1,1730,2,A T ,
32,0,Low,1,1730,7,L M,
33,0,Low,1,1800,4,E J L U,
34,0,Low,1,1800,10,B F,
35,0,Low,2,1000,1,T W,
36,0,Low,2,1000,2,A S V ,
37,0,Low,2,1000,4,C J,
38,0,Low,2,1000,6,B R,
39,0,Low,2,1000,7,H O,
40,0,Low,2,1000,8,K L,
41,0,Low,2,1000,11,X F Q M U,
42,0,Low,2,1115,2,A S V ,
43,0,Low,2,1115,4,C J,
44,0,Low,2,1115,6,N R,
45,0,Low,2,1115,7,T H ,
46,0,Low,2,1115,7,H O,
47,0,Low,2,1115,8,K L,
48,0,Low,2,1115,11,X F Q M U,
49,0,Low,2,1230,2,A S V ,
50,0,Low,2,1230,4,C J,
51,0,Low,2,1230,6,N R,
52,0,Low,2,1230,8,K L,
53,0,Low,2,1230,11,F M U X ,
54,0,Low,2,1230,11,Q T,
55,0,Low,2,1330,2,A S V ,
56,0,Low,2,1330,4,C J ,
57,0,Low,2,1330,6,N R,
58,0,Low,2,1330,8,D K L,
59,0,Low,2,1330,11,F M U X ,
60,0,Low,2,1330,11,Q T ,
61,0,Low,2,1430,2,A S V ,
62,0,Low,2,1430,4,C J,
63,0,Low,2,1430,6,N R,
64,0,Low,2,1430,8,D K L,
65,0,Low,2,1430,11,F M U X ,
66,0,Low,2,1430,11,Q T,
67,0,Low,2,1530,2,A S V ,
68,0,Low,2,1530,4,C J,
69,0,Low,2,1530,6,N R,
70,0,Low,2,1530,8,D K L,
71,0,Low,2,1530,11,F M U X ,
72,0,Low,2,1630,2,A S V ,
73,0,Low,2,1630,4,C J,
74,0,Low,2,1630,7,H I O,
75,0,Low,2,1630,8,D L,
76,0,Low,2,1630,12,P T,
77,0,Low,2,1730,2,A S,
78,0,Low,2,1730,4,C J ,
79,0,Low,2,1730,7,H I O U,
80,0,Low,2,1730,8,D L Q,
81,0,Low,2,1730,10,B G,
82,0,Low,2,1800,2,A S V ,
83,0,Low,2,1800,4,C J,
84,0,Low,2,1800,7,O U H I,
85,0,Low,2,1800,8,D L Q,
86,0,Low,2,1800,10,B G,
87,0,Low,3,1000,2,A S,
88,0,Low,3,1000,4,C E Q,
89,0,Low,3,1000,7,O H,
90,0,Low,3,1000,8,D L N R,
91,0,Low,3,1000,10,B F K,
92,0,Low,3,1000,12,M P V,
93,0,Low,3,1115,2,A S,
94,0,Low,3,1115,4,C E Q,
95,0,Low,3,1115,7,H O,
96,0,Low,3,1115,8,D L N R,
97,0,Low,3,1115,10,B F K,
98,0,Low,3,1115,12,M P V,
99,0,Low,3,1230,2,A S,
100,0,Low,3,1230,4,C E Q,
101,0,Low,3,1230,7,H O,
102,0,Low,3,1230,8,D L N R,
103,0,Low,3,1230,10,B F K,
104,0,Low,3,1230,12,M P V,
105,0,Low,3,1330,2,A S,
106,0,Low,3,1330,6,Q T,
107,0,Low,3,1330,7,H O,
108,0,Low,3,1330,8,L D,
109,0,Low,3,1330,8,L N R,
110,0,Low,3,1330,10,B F G K,
111,0,Low,3,1330,12,M P V,
112,0,Low,3,1430,2,A S,
113,0,Low,3,1430,4,C J,
114,0,Low,3,1430,6,Q T,
115,0,Low,3,1430,7,I O,
116,0,Low,3,1430,8,N D,
117,0,Low,3,1430,10,B F G K,
118,0,Low,3,1430,12,P V,
119,0,Low,3,1530,2,A S,
120,0,Low,3,1530,7,C I R,
121,0,Low,3,1530,7,I O,
122,0,Low,3,1530,7,O H,
