replicate,treatment,day,time,scan,sex,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,open,Total
prelim,low,1,1000,1,male,1,4,0,0,0,0,3,1,0,0,0,1,2,12
prelim,low,1,1000,1,female,2,0,0,1,0,0,0,2,2,3,1,0,1,12
prelim,low,1,1000,1,both,3,4,0,1,0,0,3,3,2,3,1,1,3,24
prelim,low,1,1115,2,male,1,5,0,0,0,0,3,1,0,1,0,0,1,12
prelim,low,1,1115,2,female,2,0,0,3,1,0,0,1,1,0,1,2,1,12
prelim,low,1,1115,2,both,3,5,0,3,1,0,3,2,1,1,1,2,2,24
prelim,low,1,1230,3,male,1,4,0,0,0,0,5,1,0,0,0,1,0,12
prelim,low,1,1230,3,female,3,0,0,3,0,0,0,0,1,0,1,2,2,12
prelim,low,1,1230,3,both,4,4,0,3,0,0,5,1,1,0,1,3,2,24
prelim,low,1,1330,4,male,2,4,0,0,0,0,4,0,0,0,0,0,2,12
prelim,low,1,1330,4,female,1,0,0,4,0,2,0,0,0,0,2,2,1,12
prelim,low,1,1330,4,both,3,4,0,4,0,2,4,0,0,0,2,2,3,24
prelim,low,1,1430,5,male,1,4,0,1,0,0,4,1,0,0,0,0,1,12
prelim,low,1,1430,5,female,3,1,1,3,0,0,0,0,0,0,1,2,1,12
prelim,low,1,1430,5,both,4,5,1,4,0,0,4,1,0,0,1,2,2,24
prelim,low,1,1530,6,male,1,2,0,0,0,1,3,2,1,0,0,0,2,12
prelim,low,1,1530,6,female,1,1,0,1,1,0,1,1,1,1,0,1,3,12
prelim,low,1,1530,6,both,2,3,0,1,1,1,4,3,2,1,0,1,5,24
prelim,low,1,1630,7,male,1,3,0,0,0,0,2,0,1,0,1,1,3,12
prelim,low,1,1630,7,female,1,0,0,0,0,0,1,1,1,1,1,0,6,12
prelim,low,1,1630,7,both,2,3,0,0,0,0,3,1,2,1,2,1,9,24
prelim,low,1,1730,8,male,1,2,0,0,0,0,2,0,0,1,3,0,3,12
prelim,low,1,1730,8,female,0,1,0,1,0,0,1,0,1,1,0,0,7,12
prelim,low,1,1730,8,both,1,3,0,1,0,0,3,0,1,2,3,0,10,24
prelim,low,1,1800,9,male,0,2,3,1,0,1,0,0,0,2,1,1,1,12
prelim,low,1,1800,9,female,1,0,2,0,0,0,2,0,0,0,1,0,6,12
prelim,low,1,1800,9,both,1,2,5,1,0,1,2,0,0,2,2,1,7,24
prelim,low,2,1000,1,male,0,2,0,3,0,0,2,2,0,1,1,1,0,12
prelim,low,2,1000,1,female,2,2,0,0,0,2,1,0,0,0,4,1,0,12
prelim,low,2,1000,1,both,2,4,0,3,0,2,3,2,0,1,5,2,0,24
prelim,low,2,1115,2,male,0,1,0,3,0,0,2,2,0,1,1,1,1,12
prelim,low,2,1115,2,female,1,2,0,0,0,2,2,0,0,0,4,1,0,12
prelim,low,2,1115,2,both,1,3,0,3,0,2,4,2,0,1,5,2,1,24
prelim,low,2,1230,3,male,0,1,0,3,0,0,2,2,0,1,1,1,1,12
prelim,low,2,1230,3,female,1,2,0,0,0,2,1,0,0,0,5,1,0,12
prelim,low,2,1230,3,both,1,3,0,3,0,2,3,2,0,1,6,2,1,24
prelim,low,2,1330,4,male,0,1,0,3,0,0,2,3,0,1,1,0,1,12
prelim,low,2,1330,4,female,1,2,0,0,0,2,1,0,0,0,5,1,0,12
prelim,low,2,1330,4,both,1,3,0,3,0,2,3,3,0,1,6,1,1,24
prelim,low,2,1430,5,male,0,1,0,3,0,0,2,3,0,1,1,0,1,12
prelim,low,2,1430,5,female,1,2,0,0,0,2,1,0,0,0,5,1,0,12
prelim,low,2,1430,5,both,1,3,0,3,0,2,3,3,0,1,6,1,1,24
