ID,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X
A,,,,,,,,,,,,,,,,,,,1,,,1,,1
B,,,,,,,,,,,,,1,3,1,,2,1,,1,,,1,1
C,,,,,,,,,,,,,,,,,1,,,1,1,,,
D,,,,,,,,,,,,,,,1,,,,,,,3,,
E,,,,,,,,,,,,,,,,,,,,,1,,,1
F,,,,,,,,,,,,,,1,2,2,,,,2,1,1,1,
G,,,,,,,,,,,,,,,,,,,,2,,,1,1
H,,,,,,,,,,,,,,,,,1,1,1,1,,,1,1
I,,,,,,,,,,,,,,,2,,3,,1,1,1,,1,
J,,,,,,,,,,,,,1,,,,1,,,1,1,,,
K,,,,,,,,,,,,,,,,,,1,,,,,1,
L,,,,,,,,,,,,,,,,,,,,,,,1,
M,,,,,,,,,,,,,,,,,,,,,,,,
N,,,,,,,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,
Q,,,,,,,,,,,,,,,,,,,,,,,,
R,,,,,,,,,,,,,,,,,,,,,,,,
S,,,,,,,,,,,,,,,,,,,,,,,,
T,,,,,,,,,,,,,,,,,,,,,,,,
U,,,,,,,,,,,,,,,,,,,,,,,,
V,,,,,,,,,,,,,,,,,,,,,,,,
W,,,,,,,,,,,,,,,,,,,,,,,,
X,,,,,,,,,,,,,,,,,,,,,,,,
