Day,Time,Location,Focal Individual,Behaviour,Social Partners(s),Partner's response,Notes
1,8:32 AM,1,.9,Mating,8.,N/A,
1,8:33 AM,5,.5,Mating,1.,N/A,
1,8:34 AM,4,.1,Mount ,4.,Ran away,
1,8:35 AM,10,.7,Mating,7.,N/A,
1,8:36 AM,7,.2,Mating,3.,N/A,
1,8:37 AM,5,.3,Mount ,1.,Pressing firmly against shelter wall,
1,8:40 AM,7,.2,Mount ,3.,Ran away,
1,8:40 AM,5,.3,Mount ,1.,Pressing firmly against shelter wall,
1,8:45 AM,5,.3,Mount ,1.,Pressing firmly against shelter wall,
1,8:48 AM,5,.3,Mount ,1.,Pressing firmly against shelter wall,
1,8:49 AM,7,.2,Mount ,3.,Ran away,
1,8:49 AM,1,.9,Mating,1:,N/A,
1,8:50 AM,11,.0,Mating,0:,Walked around,
1,8:54 AM,11,0:,Exit 11,N/A,N/A,
1,8:55 AM,4,0:,Enter 4,,N/A,
1,8:55 AM,4,.1                                                                                                                                                                                                                                                                                                                                                        ,Mount,0:,Ran away,
1,9:05 AM,2,.4,Mating,6.,Left 2 with .4 on her,
1,9:06 AM,7,3.,Move within 7,.2,N/A,
1,9:09 AM,2,.4,Enter 2,N/A,N/A,
1,9:09 AM,10,7.,Left 10,N/A,Left 9.,
1,9:10 AM,10,.8,Move within 10,9.,Left .7 and 2.,
1,9:11 AM,5,.3,Mount,.5,N/A,
1,9:12 AM,10,2.,Move within 10,N/A,No longer with .7,
1,9:12 AM,10,.7,Mating,2.,N/A,
1,9:13 AM,10,.8,Mount,9.,Pressing firmly against shelter wall,
1,9:15 AM,7,.2,Move within 7,N/A,No longer with 3.,
1,9:16 AM,8,:1,Exit 8,N/A,N/A,
1,9:16 AM,7,3.,Exit 7,N/A,N/A,
1,9:17 AM,12,3.,Enter 12,N/A,N/A,
1,9:17 AM,1,1:,Move within 1,N/A,N/A,
1,9:18 AM,11,:1,Enter 11,.0,N/A,
1,9:19 AM,10,.8,Mount,7.,Walk around,
1,9:20 AM,5,.3,Mount,.5,N/A,
1,9:21 AM,6,6.,Enter 5,N/A,N/A,
1,9:21 AM,10,9.,Left 10,N/A,N/A,
1,9:21 AM,4,:0,Move within 4,.1,N/A,
1,9:22 AM,7,.2,Exit 7,N/A,N/A,
1,9:23 AM,2,.2,Enter 2,N/A,N/A,
1,9:23 AM,9,.9,Enter 9,N/A,N/A,
1,9:34 AM,4,:0,Exit 4,N/A,N/A,
1,9:34 AM,Outside 3,:0,Mating,4.,Running around,
1,9:39 AM,11,:1,Move within 11,.0,N/A,
1,9:41 AM,10,.7,Move within 10,.8,Left 2.,
1,9:49 AM,10,2.,Exit 10,N/A,N/A,
1,9:49 AM,10,7.,Enter 10,N/A,N/A,
1,9:49 AM,10,.7,Mount,7.,Ran away,
1,9:50 AM,10,.7,Move within 10,N/A,No longer with 7. or .8,
1,10:21 AM,4,.1,Mating,0:,"Running around, left 4",
1,10:21 AM,3,0:,Enter 3,9.,Ran away,.1 was still mating with her
1,10:22 AM,3,9.,Left 3,N/A,,
1,10:22 AM,3,0:,Left 3,.1,.1 was still mating with her,
1,10:24 AM,2,9.,Enter 2,N/A,,
1,10:25 AM,8,0:,Enter 8,N/A,,
1,10:25 AM,2,.1,Enter 2,N/A,,
1,10:31 AM,5,.3,Move within 5,N/A,No longer touching 1.,
1,10:36 AM,5,.3,Move within 5,1.,,
1,10:44 AM,1,1:,Exit 1,N/A,,
1,10:44 AM,11,.0,Move within 11,:1,,
1,10:50 AM,7,1:,Enter 7,,,
1,10:50 AM,11,.0,Moe within 11,N/A,No longer with :1,
1,10:50 AM,5,.3,Mount ,1.,,
1,11:06 AM,Outside 2,.1,Mount,.4,,
1,11:11 AM,7,1:,Exit 7,N/A,,
1,11:12 AM,9,.5,Mating,1:,"Walking around, entered 8",
1,11:13 AM,8,1:,Enter 9,.5,.5 was mating with her when she entered,
1,11:14 AM,8,1:,Move within 8,N/A,No longer with .5,
1,11:18 AM,8,.5,Exit 8,N/A,,
1,11:21 AM,4,.5,Enter 4,N/A,,
1,11:22 AM,Outside 2,.4,Move outside 2,N/A,No longer with .1,
1,11:26 AM,4,.5,Exit 4,N/A,,
1,11:26 AM,11,.5,Enter 11,N/A,Touched .0 on the way in,
1,11:29 AM,8,0:,Exit 8,N/A,,
1,11:30 AM,5,1.,Move within 5,N/A,No longer with .3,
1,11:32 AM,10,0:,Enter 10,N/A,Bumped into 7.,
1,11:32 AM,10,7.,Exit 10,N/A,,
1,11:33 AM,12,3.,Exit 12,N/A,,
1,11:37 AM,10,3.,Enter 10,N/A,,
1,11:41 AM,12,7.,Enter 12,N/A,,
1,12:05 PM,1,.5,Move within 1,"8., 0., .9",,
1,12:14 PM,5,6.,Exit 5,N/A,,
1,12:15 PM,10,3.,Exit 10,N/A,No longer with .7,
1,12:17 PM,Open,4.,Bump,7.,Ran away,
1,12:17 PM,11,.0,Exit 11,N/A,,
1,12:18 PM,2,3.,Enter 2,N/A,,
1,12:18 PM,2,.4,Mount,9.,Ran away,
1,12:19 PM,2,3.,Exit 2,N/A,,
1,12:19 PM,2,9.,Exit 2,N/A,,
1,12:21 PM,5,.3,Move within 5,1.,,
1,12:21 PM,9,9.,Enter 9,N/A,,
1,12:22 PM,Outside 7,:0,Mount,.0,Ran away,
1,12:23 PM,4,7.,Enter 4,N/A,,
1,12:23 PM,Open,.0,Mount,3.,Ran away,
1,12:24 PM,12,6.,Enter 12,N/A,,
1,12:24 PM,12,.0,Enter 12,N/A,,
1,12:24 PM,12,.0,Mount,6.,Ran away,
1,12:25 PM,12,6.,Exit 12,N/A,,
1,12:25 PM,8,1:,Exit 8,N/A,,
1,12:26 PM,4,3.,Enter 4,N/A,,
1,12:26 PM,Open,:0,Mating,1:,Running around,
1,12:27 PM,Outside 2,.4,Mount ,":0, 1:",,Mounted :0 who was mating with 1:
1,12:28 PM,5,.3,Move within 5,N/A,No longer with 1.,
1,12:30 PM,1,:0,Enter 1,"0., 8., .9, .5",,
1,12:32 PM,11,0.,Left 11,N/A,,
1,12:33 PM,12,.0,Exit 12,N/A,,
1,12:34 PM,Open,1:,Bump,6.,Ran away,
1,12:35 PM,3,6.,Enter 3,N/A,,
1,12:37 PM,11,.1,Enter 11,:1,,
1,12:39 PM,5,.3,Exit 5,N/A,,
1,12:39 PM,3,6.,Exit 3,N/A,,
1,12:40 PM,8,.0,Enter 8,5.,,
1,12:41 PM,Open,.0,Mount,6.,Ran away,
1,12:41 PM,8,0.,Move within 8,N/A,,
1,12:45 PM,9,9.,Exit 9,N/A,,
1,12:46 PM,Open,.1,Mating,9.,"Running around, entered 2",
1,12:47 PM,2,.2,Mount,9.,,Tried to mount 9. while .1 was mating with her which ended the mating
1,12:48 PM,2,9.,Exit 2,N/A,,
1,12:48 PM,3,9.,Enter 3,N/A,,
1,12:49 PM,12,.3,Enter 12,N/A,,
1,12:50 PM,8,0.,Exit 8,N/A,,
1,12:50 PM,9,0.,Enter 9,N/A,,
1,1:01 PM,4,7.,Exit 4,N/A,,
1,1:04 PM,Feeder,1:,Feeding,N/A,,
1,1:06 PM,Feeder,1.,Approach feeder,N/A,,Ran away
1,1:07 PM,Feeder,3.,Feeding,N/A,,
1,1:07 PM,7,1:,Enter 7,N/A,,
1,1:08 PM,Outside 2,.1,Mount,1.,Ran away into 2,
1,1:09 PM,Outside 4,.0,Mount,7.,Ran away,
1,1:11 PM,8,3.,Enter 8,N/A,,
1,1:14 PM,Feeder,.0,Approach feeder,N/A,,
1,1:18 PM,Feeder,.0,Attempt feeding,N/A,,
1,1:18 PM,1,.5,Moved within 1,N/A,"No longer with .9, 8., and :0",
1,1:19 PM,10,.7,Enter 10,.8,,
1,1:21 PM,10,.7,Moved within 10,N/A,,
1,1:23 PM,Feeder,7.,Feeding,N/A,,
1,1:23 PM,1,.9,Moved within 1,N/A,No longer with 8. and :0,
1,1:24 PM,10,.7,Mount,8.,Shake and ran away,
1,1:24 PM,1,.9,Moved within 1,:0 and 8.,,
1,1:26 PM,8,0.,Enter 8,N/A,,
1,1:26 PM,8,3.,Left 8,N/A,Was touched by 0. and ran away,
1,1:27 PM,7,3.,Enter 7,N/A,,
1,1:27 PM,Feeder,9.,Feeding,N/A,,
1,1:28 PM,4,.3,Mating,0.,Walked around,
1,1:29 PM,Outside 8,.0,Mount,5.,Ran away,
1,1:31 PM,Feeder,5.,Attempt feeding,N/A,,
1,1:32 PM,3,9.,Enter 3,N/A,,
1,1:34 PM,10,.8,Mount,4.,Ran away,
1,1:35 PM,10,4.,Exit 10,N/A,,
1,1:35 PM,1,:0,Exit 1,N/A,,
1,1:36 PM,1,.5,Exit 1,N/A,,
1,1:36 PM,1,.9,Moved within 1,N/A,No longer with anyone,
